,Advancement Name,Description,Tab,Parent,Actual Requirements,Hidden?,Notes
42,Unmasked,Shear the Pumpkin off of a Snow Golem to unveil their true face,Farming,Olaf,,-,
43,Pumpa kungen!,Carve a stack of pumpkins,Farming,Unmasked,Obtain 64 Carved Pumpkins,-,
44,The Melon! The Melon! The Melon!,Eat a melon. Be careful not to drop it over a cliff,Farming,Naturally Carved,,-,
45,Scientific Inaccuracy,"Craft 9 melon slices back into a block that, when broken, will probably not give you all 9 slices back",Farming,The Melon! The Melon! The Melon!,Craft a melon block,-,"Known as ""Breaking the law of conservation of matter"" until 1.9"
46,The Meloncholy Dane,Craft a stack of melon blocks,Farming,Scientific Inaccuracy,,-,
47,"Die, Potato!",Squash and eat a potato,Farming,A Seedy Place,Eat a potato or baked potato,-,
48,Not Today!,Eat a poisonous potato,Farming,"Die, Potato!",,-,
49,Certified Spud Chomper,Eat 100 Poisonous Potatoes,Farming,Not Today!,,-,
50,24 Carrot Gold,Eat a golden carrot,Farming,"Die, Potato!",,-,
51,The garbage will do!,Craft a composter using wooden slabs then place it,Farming,A Seedy Place,Place a composter,-,
52,Natural Fertiliser,Fill up a composter,Farming,The garbage will do!,,-,
53,One-course meal,Use bone meal to grow a sapling into a tree,Farming,Natural Fertiliser,This advancement is awarded when the sapling actually turns into a tree,-,
54,Combine Harvester,Use bone meal on everything that can be grown,Farming,One-course meal,"Use Bone Meal on:Bone meal does NOT need to be used on blocks that randomly grow a spread of plants (e.g. Grass, Nylium, Moss, underwater blocks to get Seagrass, etc)
Known bug: Red Mushrooms, Brown Mushrooms, Azaleas, Flowering Azaleas and Mangrove Propagules only count if you bone-meal them but they don't immediately grow. 
This is due to how the item_used_on_block trigger works and can't be fixed, but bear this in mind.",-,
55,What's new with composting?,Compost every type of compostable item in a Composter,Farming,Combine Harvester,Compost the following items:https://minecraft.wiki/w/Composter#Composting,-,
56,Come to the countryside!,Plant every single type of crop on farmland,Farming,One-course meal,"Plant wheat seeds, beetroot seeds, melon seeds, pumpkin seeds, carrots, potatoes, torchflower seeds and pitcher pod",-,
57,Serious Dedication,"Completely use up a diamond hoe, and then reevaluate your life choices",Farming,Come to the countryside!,Break a diamond hoe,-,Refusing to change since snapshot 20w20a (1.10 Beta Build 10)
58,Full Stomach,Fill both your hunger bar and saturation level,Farming,Farming,Both your hunger level and saturation level must be 20,-,
59,Vegetarian,"Eat every type of fruit, vegetables, and any sort of plant matter",Farming,Full Stomach,"Eat the following foods: Apple, Mushroom Stew, Bread, Golden Apple, Notch Apple, Melon, Carrot, Potato, Baked Potato, Poisonous Potato, Golden Carrot, 
Pumpkin Pie, Chorus Fruit, Beetroot, Beetroot Soup, Dried Kelp, Suspicious Stew, Sweet Berries, Honey Bottle, Glow Berries, Cookie",-,
60,Meat Lovers,"Eat every type of meat, even if uncooked or rotten",Farming,Vegetarian,Eat the following foods:,-,
61,A Balanced Diet,"Eat everything that is edible, even if it's not good for you",Farming,Meat Lovers,Eat every food required for Vegetarian and Meat Lovers,-,
62,A Gluttonous Diet,Obtain a full stack of all the foods,Farming,A Balanced Diet,"Obtain a stack of every food required for ""Vegetarian"" and ""Meat Lovers"" except for Enchanted Golden Apples",-,
